States,UnemploymentRate,Lattitude,Longitude
Andhra Pradesh,21,15.90,79.40
Arunachal Pradesh,21,28.21,94.72
Assam,47,26.24,92.54
Bihar,35,25.09,85.31
Chhattisgarh,15,21.30,81.83
Goa,48,15.29,74.12
Gujarat,5,22.31,72.14
Haryana,28,29.24,76.43
Himachal Pradesh,13,32.08,77.57
Jammu & Kashmir,35,33.77,76.57
Jharkhand,25,23.61,85.27
Karnataka,16,15.32,75.71
Kerala,67,10.85,76.27
Madhya Pradesh,10,23.47,77.95
Maharashtra,14,19.66,75.30
Manipur,36,24.66,93.90
Meghalaya,7,25.46,91.36
Mizoram,31,23.16,92.93
Odisha,24,20.94,84.80
Punjab,22,31.14,75.34
Rajasthan,12,27.39,73.43
Sikkim,11,27.53,88.51
Tamil Nadu,22,11.13,78.66
Tripura,128,23.94,91.98
Uttarakhand,32,30.06,79.01
Uttar Pradesh,15,28.21,79.83
West Bengal,32,22.98,87.75
